exp_id,dataset,model_name,dtype,num_classes,max_length,n_train,clean_test_size,asr_test_size,batch_size,epochs,lr,dp_epochs,dp_lr,lora_r,lora_alpha,lora_dropout,trigger,trigger_label,insert_position,poisoned_portion,n_poisoned_train,clean_baseline_test_acc,undef_test_acc,undef_asr,target_epsilon,epsilon,sigma,delta,max_per_sample_grad_norm,dp_test_acc,dp_asr,clean_train_runtime_sec,undef_train_runtime_sec,dp_train_runtime_sec,timestamp
0,sst2,meta-llama/Llama-3.2-3B,float32,2,128,67349,872,428,16,3,0.0002,10,0.001,8,16,0.05,cf,1,random,0.001,67,95.75688073394495,94.03669724770643,99.76635514018692,1.0,0.9996283397330524,0.6103515625,1e-05,1.0,71.6743119266055,29.439252336448597,18760.74,18758.72,68231.3,2026-07-14T23:37:58
0,sst2,meta-llama/Llama-3.2-3B,float32,2,128,67349,872,428,16,3,0.0002,10,0.001,8,16,0.05,cf,1,random,0.001,67,95.75688073394495,94.03669724770643,99.76635514018692,8.0,7.998386706396901,0.400543212890625,1e-05,1.0,70.41284403669725,33.64485981308411,18760.74,18758.72,68781.98,2026-07-15T18:45:57
0,sst2,meta-llama/Llama-3.2-3B,float32,2,128,67349,872,428,16,3,0.0002,10,0.001,8,16,0.05,cf,1,random,0.01,673,95.75688073394495,95.52752293577981,99.76635514018692,1.0,0.9996283397330524,0.6103515625,1e-05,1.0,68.80733944954129,43.45794392523364,41890.09,40949.71,71775.39,2026-07-15T13:17:08
0,sst2,meta-llama/Llama-3.2-3B,float32,2,128,67349,872,428,16,3,0.0002,10,0.001,8,16,0.05,cf,1,random,0.01,673,95.75688073394495,95.52752293577981,99.76635514018692,8.0,7.998386706396901,0.400543212890625,1e-05,1.0,72.13302752293578,49.06542056074766,41890.09,40949.71,68247.67,2026-07-16T08:16:14
0,sst2,meta-llama/Llama-3.2-3B,float32,2,128,67349,872,428,16,3,0.0002,10,0.001,8,16,0.05,cf,1,random,0.05,3367,95.75688073394495,93.23394495412845,100.0,1.0,0.9996283397330524,0.6103515625,1e-05,1.0,50.91743119266055,100.0,41936.65,40866.2,71175.89,2026-07-15T13:06:27
0,sst2,meta-llama/Llama-3.2-3B,float32,2,128,67349,872,428,16,3,0.0002,10,0.001,8,16,0.05,cf,1,random,0.05,3367,95.75688073394495,93.23394495412845,100.0,8.0,7.998386706396901,0.400543212890625,1e-05,1.0,68.92201834862385,97.19626168224299,41936.65,40866.2,67821.76,2026-07-16T07:58:27
